x1,x2,x3,y
1.800,1.600,0.000,6.914
1.800,1.600,1.300,21.417
0.400,2.700,0.000,2.820
-2.000,2.000,0.000,2.660
-0.500,0.600,0.000,7.871
1.200,-0.800,0.000,21.755
1.200,0.000,-0.800,7.176
0.000,1.200,-0.800,2.875
7.900,1.000,0.000,26.503
0.000,0.400,2.700,61.301
-1.300,0.000,3.230,72.512
0.000,-1.300,3.230,88.184
7.900,1.000,-2.000,4.653
1.800,0.000,1.600,49.000
0.000,1.800,1.600,18.543
7.900,0.000,1.000,64.107
-2.000,0.000,2.000,40.131
-2.000,2.000,-1.000,0.995
0.000,-0.500,0.600,24.974
-0.500,0.000,0.600,18.243
